Patent Number,Title,Unique Identifier,
KR2875582-B1,"Hierarchically porous zeolite-supported iron catalyst used for Fischer-Tropsch synthesis reaction, comprises nano-sponge-shaped hierarchically porous zeolite support modified with metal promoters containing alkali metal, and iron-based nanoparticles supported on support.",DIIDW:2025A3442W,
EP4129272-A1; PL438670-A1; PL438673-A1,"Applying turmeric on hierarchical zeolites, by synthesizing hierarchical zeolites, adding obtained zeolite to acetone, turmeric and piperine, washing obtained product with water-ethanol solution, and drying product.",DIIDW:202316124D,
WO200279161-A1; US6492524-B1; EP1373209-A1; AU2001260594-A1; JP2004527522-W; EP1373209-B1; DE60143129-E,Synthesis of aryl pyridine base useful as integral backbone of azapeptide HIV protease inhibitors involves reacting aromatic aldehyde or ketone with an acrolein or crotonaldehyde or an allylic alcohol with ammonia in gaseous phase.,DIIDW:2003029970,
WO2010074215-A1; JP2010155187-A; JP2010155190-A; TW201034754-A; AU2009331201-A1; KR2011098947-A; US2011270010-A1; EP2384815-A1; VN27815-A; CN102333592-A; JP5256017-B2; RU2011131049-A; JP5312013-B2; RU2500473-C2; US8758596-B2; CN102333592-B; TW473652-B1; KR1622925-B1; ID201201831-A; EP2384815-A4; MY156293-A,"Hydrogenation isomerization catalyst used for dewaxing hydrocarbon oil, contains support containing molded product which is baked by heating at specified temperature and has baked zeolite and baked inorganic oxide, and specified metal.",DIIDW:2010H50076,
CN110615445-A; CN110615445-B,"Synthesizing zeolite socony mobil-5 zeolite monolith by mixing silicon source and water, adding aluminum source to form aluminosilicate gel mixture comprising silicon dioxide and water, adjusting pH and performing hydrothermal reaction.",DIIDW:202003547Q,
FR2863909-A1; IN200603626-P1; TW279249-B1; TW200533409-A; MY140859-A; IN253504-B; GC1066-A; JP2013046907-A,Purifying a gas stream containing carbon dioxide and impurities comprises using an adsorbent comprising a sodium LSX zeolite or a mixture of a sodium X zeolite and a sodium LSX zeolite.,DIIDW:2005447108,
EP3378831-A1; FR3064261-A1; US2018273391-A1; CN108622914-A; IN201844010122-A; JP2018162207-A; FR3064261-B1; ZA201801815-A; EP3378831-B1; US10865116-B2; IN383412-B; JP7085375-B2; CN108622914-B,"Preparing IZM-2 zeolite, comprises mixing zeolite of Faujasite, source of metal oxides, nitrogenous organic compound, source of fluoride anion and hydrofluoric acid in aqueous solution in aqueous medium and hydrothermal treatment of mixture.",DIIDW:2018749289,
CN113996333-A,"SSZ-13 molecular sieve synthesis method for selective catalytic reduction of NOx used in residual gas of internal combustion engine, and gas purification from nitrogen oxide generated in refining industrial process, utilizing silicon source.",DIIDW:202225909U,
CN108014841-A; CN108014841-B,"Copper-aluminosilicate zeolite mineral framework/Zeolite Socony Mobil-5 composite structure molecular sieve as catalyst for hydrogenation of methanol, has two phases of copper-aluminosilicate zeolite mineral framework.",DIIDW:201838579V,
WO2014096254-A1; TW201434810-A; CA2894444-A1; KR2015096792-A; SG11201504643-A1; EP2935184-A1; CN104995162-A; US2015336868-A1; IN201505295-P1; US9242920-B2; JP2016503048-W; ID201604072-A; CN104995162-B; EP2935184-B1; JP6161726-B2; BR112015015035-A2; RU2015129638-A; RU2638922-C2; GC8365-A; IN350962-B,"Producing acetic acid, by reacting synthesis gas and dimethyl ether in presence of carbonylation catalyst, withdrawing carbonylation reaction product from carbonylation reaction zone, and passing synthesis gas to methanol synthesis zone.",DIIDW:2014M25080,
KR2023172264-A; KR2757431-B1,"Producing zinc-silicate catalyst supported useful for propane dehydrogenation reaction, comprises e.g. synthesizing layered boron-silicate MWW framework zeolite precursor, adding zinc precursor to B-MWW(P) and hydrothermal synthesizing.",DIIDW:2023D3779P,
CN114887656-A,"Preparing modified nano Hbeta zeolite catalyst for selected synthesis of 6-acyl-2-methoxynaphthalene comprises e.g. impregnating nano Hbeta zeolite with metal nitrate solution, and drying and calcining to obtain modified nano Hbeta zeolite.",DIIDW:2022A7863M,
CN114735717-A; CN114735717-B,"Synthesis of high-silicon KFI molecular sieve used in nitrogen oxide removing application, involves e.g. uniformly mixing deionized water, metal salt and alkali source under stirring condition to obtain uniform solution, and adding FAU as raw material into solution.",DIIDW:2022969293,
CN118666643-A; CN118666643-B,Preparing methanol by directly oxidizing methane with oxygen in treating of engine combustion product comprises introducing oxygen and methane gas into rhenium/zeolite socony mobil-5 molecular sieve catalyst solution to react.,DIIDW:2024A5200C,
KR2022082643-A; KR2439862-B1,"Manufacturing zeolite adsorbent supported with nano-zero-valent iron/nickel binary metal useful for treating heavy metal contaminated water comprises preparing zeolite A from fly ash, and fixing nano-nuclear iron/nickel binary metal.",DIIDW:202281374D,
KR1648949-B1; US2017028388-A1; US10137440-B2,"Preparing core-shell cobalt catalysts used in fischer-tropsch synthesis reaction, involve preparing spherical alumina carrier having certain particle diameter, where the obtained alumina carrier is impregnated with cobalt.",DIIDW:201651750L,
JP2002137918-A,"Zeolite SSZ-35 synthesis involves hydrothermally treating raw material of zeolite, and organic template by dry gel method.",DIIDW:2002611417,
JP2008043864-A,"Hollow cylinder-like composite film used for separation of substance, has zeolite crystal film on porous support containing zeolite fine particle having preset surface concentration of silicon atom, and organic polymer.",DIIDW:2008D75493,
US2019039054-A1; WO2019032127-A1; US10272418-B2; KR2020037848-A; CN110997565-A; SG11202000955-A1; EP3665125-A1; GC11264-A; JP2020533258-W; SA12078-B1; SA520411280-A,"Producing mesoporous zeolite comprises mixing silicon having material and/or aluminum having material with quaternary amine and base, combining nanocellulose mesopore template with resultant, crystallizing resultant and calcining resultant.",DIIDW:201913825A,
CN114748892-A; CN114748892-B,"Solid phase extraction of rice protein by dispersing dry magnetic zeolite in calcium nitrate solution, dropping phosphate solution, microwave processing, pre-processing rice, adding water and enzyme to carry out enzymolysis, eluting magnetic zeolite-hydroxyapatite and rice protein and drying.",DIIDW:202294663L,
CN101973841-A,"Synthesizing 2,6-dimethylnaphthalene by transalkylation of 2-methylnaphthalene and 10C arene comprises e.g. mixing 10C arene and 2-methylnaphthalene, adding carrier gas and transferring alkyl by zeolite molecular sieve catalysis.",DIIDW:2011D91574,
US2018111837-A1; US11066309-B2,"Material used to make dense monolayer coating on porous substrate and as molecular sieves, comprises planar layer of MFI zeolite in which planar layer has specified value of thickness for seventy percentage of basal area of planar layer.",DIIDW:201832035W,
KR2017021590-A; KR1816101-B1,"Preparing sulfur-doped zeolite templated carbon used for producing electrochemical hydrogen peroxide, involves depositing carbon precursor and sulfur precursor on pores of zeolite template through chemical vapor deposition.",DIIDW:2017173634,
CN103043680-A; CN103043680-B,"Sodium Y-type zeolite/natural mineral composite material containing multi-level pore structure comprises microporous, mesoporous and macroporous of tertiary pore structure, where the natural mineral is kaolin mineral and diatomite mineral.",DIIDW:2013P52163,
CN103922361-A,"Preparing silicoaluminophosphate-17 molecule sieve comprises e.g. mixing aluminum source, phosphoric acid and water to form stable sol, adding cyclohexane, aging to form sol-gel system, preheating, crystallizing and layering reaction liquid.",DIIDW:2014S37001,
WO2006077254-A1; DE102005003879-A1; EP1841531-A1; US2008249327-A1,"New copper containing zeolite catalysts, which is obtained by e.g. precipitating copper(II)hydroxide from aqueous phase in the presence of zeolite, useful for synthesizing dimethyl carbonate.",DIIDW:2006559177,
JP2025146401-A,"Zeolite for zeolite composite for separating liquids or gases, separating nitrogen and ammonia, separating hydrogen and methanol, comprises specific amount of fluorine atoms.",DIIDW:202597932F,
CN108128785-A; CN108128785-B,"Synthesizing ITE zeolite molecular sieves involves using nickel amine complex as template, firstly dissolving nickel salt in deionized water, stirring and adding organic amine to solution, stirring, adding sodium hydroxide solids.",DIIDW:201846452Y,
JP2011184572-A; JP5517681-B2,"Manufacture of aromatic compound e.g. methanol for fuel, involves using gas containing hydrogen and carbon monoxide in presence of catalyst component formed from refractory inorganic oxide containing silica, and catalyst containing zeolite.",DIIDW:2011L94684,
US2023092672-A1,"Method of synthesizing heteroatom doped-beta zeolite having cerium or cobalt as extra-framework species, involves crystallizing reaction mixture with water, silicon dioxide, framework metal oxide molar ratio of structure directing agent cation to silicon dioxide in the reaction mixture.",DIIDW:2023314316,
WO2016017794-A1; JP2016538461-X; VN52344-A; US2017252731-A1; ID201713446-A; JP6404352-B2; US10556229-B2; VN10031151-B,"Composite catalyst used in manufacture of lower olefin, comprises zeolite which is crystalline aluminosilicate containing gallium and iron and having skeletal structure with preset number of ring components, and silicon dioxide.",DIIDW:201608953G,
FR2859994-A1; WO2005028594-A1; EP1668094-A1; CN1882674-A; US2007167662-A1; IN200600915-P4; US7579513-B2; IN236800-B; EP1668094-B1; DE602004027512-E; CN1882674-B; ES2344901-T3,"Continuous production of propylene in high yield, by direct cracking of light olefinic hydrocarbon charge over moving bed of zeolite catalyst, with simultaneous removal and oxidative regeneration of catalyst.",DIIDW:2005245469,
JP2017178900-A,"Manufacture of aromatic compound e.g. benzene, from natural gas, involves using catalyst formed by blending alkaline-earth metal with zeolite supported with molybdenum.",DIIDW:201768779A,
WO2008152021-A1; EP2167456-A1; CN101679204-A; MX2009013109-A1; KR2010032396-A; US2010189623-A1; IN201000198-P4; JP2010529163-W; EP2167456-B1; CN101679204-B; US8466320-B2; JP5362710-B2; KR1538180-B1,"Recovery of acids, e.g. sulfuric- and hydrochloric-acids, both useful as catalysts, from product stream of organic synthesis, comprises neutralizing the acid with base, removing the base by adsorption using adsorber e.g. zeolite.",DIIDW:2009A43400,
WO2023075532-A1; KR2023063328-A; JP2024510844-W; DE112022005244-T5; US2024367986-A1; JP7678266-B2; KR2833796-B1,"Chabazite (CHA)-deca-dodecasil 3 rhombohedral (DDR)-based zeolite separator used for separating gas and gas mixture, comprises layer comprising CHA structure and DDR structure, and layer comprising DDR structure, and is in form of film.",DIIDW:2023469997,
WO2006103705-A1,"Production of nanofiltering filters for reducing to zero the pollutants existing in exhaust gases, e.g. carbon dioxide in heating burners and in power stations, by constructing various phases of zeolite filtering dust.",DIIDW:2006708984,
CN104817428-A,"Selective oxidation of cyclohexane to obtain cyclohexanol and cyclohexanone, involves catalytically oxidizing cyclohexane using cobalt-loaded zeolite catalyst and oxygen as oxidant, in absence of solvent.",DIIDW:2015574378,
WO2016068061-A1; JP2016556550-X; CN107108475-A; JP6251821-B2; CN107108475-B,"Manufacture of acetonitrile used as solvent for e.g. organic electroluminescent material, involves performing gas phase reaction of acetic acid and ammonia in presence of zeolite catalyst having 8-membered ring porous structure.",DIIDW:201627496N,
US2005058597-A1; US7014837-B2,"Preparation of nano-size zeolite A used for, e.g. non-phosphate detergent builders, comprises combining solid precursor with seed crystals of zeolite A with agitation in aqueous alkaline solution with hydroxide ions at specific temperature.",(UCNT-C),
CN101485995-A; CN100574880-C,"Magnesium-cobalt based catalyst used for synthesizing alkali pyridine using formaldehyde, acetaldehyde and ammonia, comprises zeolite-type composite molecular sieve, magnesium oxide, cobalt oxide and substrate.",DIIDW:2009M17065,
US6039864-A,"Conversion of hydrocarbon feed, preferably isomerization, by contacting the feed with a zeolite catalyst comprising first zeolite particles and second zeolite particles as a binder.",DIIDW:2000327719,
JP2014166973-A,"Manufacture of olefin e.g. propylene used as monomer for manufacturing polypropylene, involves carrying out Fischer-Tropsch reaction for obtaining hydrocarbon compound, and carrying out catalytic cracking of hydrocarbon compound.",DIIDW:2014R02181,
CN113307282-A; CN113307282-B,"Synthesis of sodalite zeolite molecular sieve using coal gangue solid waste by activating coal gangue solid waste raw material by mechanical chemical method, adding alkali, hydrothermally crystallizing, and removing carbon.",DIIDW:2021A2629S,
WO2024048119-A1; JP2024035495-A; AU2023334093-A1; US2025196121-A1; EP4582180-A1; JP7712635-B2,"Catalyst used for producing liquid fuel, preferably jet fuel from carbon oxide, comprises metal-based catalyst that contains metal compound containing cobalt and e.g. manganese having activity in Fischer-Tropsch synthesis reaction, and carrier catalyst including zeolite carrying metal-based catalyst.",DIIDW:2024246922,
CN114074945-A; CN114074945-B,"Synthesizing ore-shell structure Y zeolite-silica composite material comprises mixing Y zeolite, octadecyltrichlorosilane and solvent, drying, mixing alcohols and silicon source, placing in water vapor environment containing alcohols and acids for reaction, drying and heat-treating.",DIIDW:202237422N,
CN115784829-A; CN115784829-B,"Synthesizing 2,5-dimethyl-2,4-hexadiene by catalyzing isobutyraldehyde using phosphoric acid modified zinc/H-zeolite socony mobil-5 by using isobutene and isobutyraldehyde as raw material and catalyzing Prins reaction using phosphoric acid modified zinc/H-zeolite socony mobil-5 molecular sieve.",DIIDW:202329813Q,
WO2006002805-A1; EP1758840-A1; KR2007028576-A; IN200604748-P4; MX2006015014-A1; US2007276173-A1; CN1997613-A; JP2008503431-W; BR200512521-A; TW200615258-A; IT1356544-B; IN201000391-P4; EP2267099-A2; EP2267100-A2; EP2267099-A3; EP2267100-A3; MX286492-B; US8030238-B2; HK1108155-A1; EP2267099-B1; CN1997613-B; CA2570342-C; JP5285274-B2; KR1313434-B1; ES2424223-T3; TW201332962-A; TW201335133-A; SG128742-A1; SG128742-B; TW468388-B1; TW468389-B1; TW492928-B1; GC4103-A; EP2267100-B1; ES2650501-T3; EA14135-B1; EP1758840-B1; BR200512521-B1; ES2816203-T3; TR202014032-T4,New zeolite having beta-type crystalline structure and specific distribution of Lewis acid and Bronsted acid sites useful in catalytic composition for alkylation and tranalkylation of aromatic hydrocarbons.,DIIDW:2006090324,
CN111841618-A; CN111841618-B,"Preparation of catalyst for synthesis of 2,2,4-trimethyl-1,3-pentanediol diisobutyrate by mixing metal salt with sodium yttride molecular sieve, mixing with silicon, aluminum and alkali, adding precursor and carbon black, and aging.",DIIDW:2020A9695G,
WO2004074219-A2; EP1594822-A2; BR200407589-A; ZA200506468-A; KR2005101555-A; JP2006517957-W; CN1759081-A; MX2005008768-A1; US2006264685-A1; IN200503631-P1; US7321072-B2; CN100349835-C; RU2331621-C2; IN238179-B; WO2004074219-A3,"Production of para-xylene useful as key intermediate in synthesis of terephthalic acid involves adding water to mixture of toluene and methanol, and reducing contact time of mixture with oxide modified zeolite catalyst to below one second.",DIIDW:2004635526,
JP2024110249-A,"Cluster-supported catalyst used in catalyst device, comprises silica support particle and catalytic metal clusters supported on silica support particle, where surface portion of silica support particle has amorphous structure and/or quartz structure, catalytic metal cluster contains catalytic metal.",DIIDW:2024892598,
FR3124184-A1; WO2022269182-A1; CN117769539-A; EP4359378-A1,"Preparation of mercaptan e.g. methyl mercaptan, involves treating catalyst, preferably zeolite, by heating catalyst in presence of inert gas and contacting catalyst with hydrogen sulfide and performing sulfhydrolysis reaction by reacting dialkyl sulfide with hydrogen sulfide and catalyst.",DIIDW:2022F6495N,
CN112279264-A; CN112279264-B,Two-dimensional layered zeolite molecular sieve membrane having high separation stability useful in water treatment to filter and separate (pollutants including e.g. organic pollutants) or separate different liquid mixtures.,DIIDW:202113241P,
CN119638714-A,"Method for one-step catalytic synthesis isosorbide methyl ether, involves mixing sorbitol, glycol dimethyl ether and solid acid catalyst, and reacting in sealed container, where solid acid catalyst includes e.g. Keggin type heteropoly acid and strong acid type ion exchange resin.",DIIDW:202532599R,
CN111729464-A,Use of pure silicon BEA zeolite for removing organic VOC pollution from moist air or exhaust gas.,DIIDW:202099502D,
WO2019219629-A1; IN202047049021-A; CN112236230-A; KR2021010902-A; US2021070619-A1; EP3793727-A1; JP2021523866-W; US11261097-B2; EP3793727-B1; IN429697-B; CN112236230-B; JP7487113-B2; KR2746625-B1,Crystalline aluminosilicate zeolite for catalyzed substrate monolith and exhaust gas purification system for removing nitrogen oxide from combustion exhaust gases has maximum pore size of eight tetrahedral atoms and low proton content.,DIIDW:201998277X,
FR2792929-A1; WO200066494-A1; AU200043040-A,"Preparation of a zeolite of structure MTT, useful as hydrocarbon transformation catalyst or selective adsorbent, by hydrothermal treatment of a crystallization gel in the absence of an organic structuring agent.",DIIDW:2001034015,
EP1216961-A2; US2002113015-A1; CZ200104581-A3; JP2002241125-A; ZA200110320-A; IT1320125-B; US6924247-B2; IN200101015-I4; JP4230143-B2; IN221432-B; CZ301659-B6; EP1216961-B1; EP1216961-A3; ES2633602-T3,"Separation and removal of zeolite crystals from aqueous suspension involves treating suspension with acid at specified pH, and filtering or decanting resulting mixture to isolate zeolite crystals.",DIIDW:2002530627,
CN110092387-A; CN110092387-B,"Preparation of hydrotalcite composite material comprises e.g. mixing and stirring A-type zeolite, silane coupling agent and water to obtain first slurry, adding divalent and trivalent metal compound, and stirring to obtain second slurry.",DIIDW:201969865D,
CN109908947-A; CN109908947-B,"Catalyst for highly selective conversion of synthesis gas to acetic acid, comprises zirconium-based solid solution oxide and modified zeolite molecular sieve containing eight-membered ring and rest is modified zeolite molecular sieve.",DIIDW:201957350M,
CN106732342-A; CN106732342-B,"Preparing multi-stage pore structure honeycomb material comprises e.g. mixing clay diatomaceous earth with surface modifier solution, solid-liquid separating, refluxing, adding ceramic fiber and anionic polyacrylamide, drying and calcining.",DIIDW:201737818K,
CN118561688-A; CN118561688-B,"Synthesis of aspirin catalyzed by cheap mineral functional material, involves reacting salicylic acid, acetic anhydride, ethyl acetate and activated catalyst e.g. zeolite or kaolin, filtering catalyst, recovering solvent by vacuum distillation, recrystallizing with e.g. ethanol, filtering and drying.",DIIDW:202496193L,
CN105080590-A; CN105080590-B,"Preparation of catalyst for isobutane-butene alkylation reaction, mixing small grain Y-type zeolite prepared using e.g. guiding agent and aluminum source, alumina sol, hydrated alumina, silica sol, clay, acid and water, and molding.",DIIDW:201613324K,
CN120571630-A,"4A zeolite electro-catalyst loaded with transition metal useful in field of water electrolysis hydrogen production, fuel cell and metal-air battery, prepared by mixing copper nitrate trihydrate/nickel nitrate hexahydrate with protonated 4A zeolite, mixing and stirring, and hydrothermally reacting.",DIIDW:202589843L,
CN110683556-A; CN110683556-B,Silica zeolite comprises chemical composition comprising silicon dioxide and aluminum oxide.,DIIDW:202007427E,
WO2004024660-A1; JP2004123723-A; JP2004203861-A; AU2003261766-A1; CN1681758-A; KR2005044916-A; KR618367-B1; CN100357241-C; JP4435518-B2; JP4509506-B2; SG109900-B,Process for producing 4-alkylphenols comprises reacting a 4-unsubstituted phenol with an alkyl alcohol/ether in the presence of a synthetic zeolite and subjecting the reaction mixture after removing water/alcohol to rearrangement.,DIIDW:2004329436,
JP2022135379-A; JP7602938-B2,"Hydrocarbon adsorbent used for hydrocarbon trap for purifying exhaust gas from internal combustion engine, comprises MSE-type zeolite, and potassium and metal supported on MSE-type zeolite, where metal comprises alkali metals other than potassium, alkaline earth metals, and/or transition metals.",DIIDW:2022C11089,
WO2020157057-A1; EP3917669-A1; US2022040678-A1; US11607673-B2; EP3917669-B1,Catalyst composition for synthesis of higher alcohols from syngas comprises active phase comprising copper and iron on support which is zeolites having predetermined silicon/aluminum molar ratio.,DIIDW:202074011G,
KR2014122837-A,Mesoporous protonated Y-type zeolite catalyst useful in preparing p-xylene from dimethylfuran.,DIIDW:2014U11714,
WO2012018007-A1; JP2011536645-X,"Method for separating methanol used as raw material for transesterification, involves using zeolite film with crystal structure of FAU type and separating methanol from mixture of methanol and monohydric alcohol.",DIIDW:2012B88471,
CN105110975-A,"Organic fertilizer composition useful for promoting glutathione synthesis in tomato, contains humus soil, dried livestock and poultry manure, zeolite powder, amino acid composition, chitin, water-soluble glucans, and nitrogen.",DIIDW:201580794V,
WO200138223-A1; AU200116841-A; EP1237818-A1; EP1237818-B1; DE60003461-E; US6669924-B1; CA2392296-C,"Mesoporous zeolitic material, used as catalyst in oil refining, petrochemistry, has stereoregular arrangement of mesopores whose walls have microporous nanocrystalline structure with uniformly sized micropores.",DIIDW:2001488473,
CN117946041-A; WO2025021228-A1; CN117946041-B,"Production of high-purity 2,5-furandimethanol using aprotic acid catalyst used for catalyzing furfuryl alcohol, by adding modified zeolite catalyst, furfuryl alcohol and hydroxymethylating reagent to aprotic solvent, filtering to separate solid and liquid phases, rotary evaporating, and heating.",DIIDW:202447013V,
CN105984885-A,"Synthesizing Zeolite Socony Mobil-5 molecular sieve involves mixing industrial waste micro-silica fume in templating agent and ammonia water, washing, filtering and drying mixture to obtain final product.",DIIDW:201667521K,
CN113173894-A; CN113173894-B,"Continuous synthesis of tetrahydrofuran-3-one comprises synthesizing tetrahydrofuran-3-one with 1,4-butynediol and catalyst.",DIIDW:202188196E,
WO2021024045-A1; US2021039065-A1; KR2022040488-A; CN114269469-A; EP4010113-A1; JP2022543628-W; US11465122-B2; US2022362740-A1; US2022387965-A1; US11638909-B2; US11638908-B2,"Synthesizing MER framework type zeolite for separating carbon dioxide from process feedstream, by providing reaction mixture comprising faujasite (FAU) framework type zeolite, potassium cations, hydroxide ions and water, and crystallizing.",DIIDW:202115012C,
JP2025010071-A,"Production of zeolite used as adsorbent, involves mixing silicon element source, aluminum element source, alkali metal element source, and water to obtain aqueous precursor, aging, adding raw material including seed crystal, and hydrothermally synthesizing raw gel mixture.",DIIDW:202509437Q,
WO2013030415-A1; ES2397451-A1; ES2397451-B1; EP2752242-A1; US2014206914-A1; BR112014004745-A2,"Producing energy from lower alcohols, particularly methanol, comprises subjecting alcohols to catalytic dehydration using zeolite catalyst as acid catalyst, giving rise to olefins, and using the same catalyst as a molecular sieve.",DIIDW:2013D32831,
JP2000212178-A,"Manufacture of tetrahydrofuran involves reacting fatty acid ester with 1,4-butane diol in presence of zeolite catalyst having three dimensional channel structure with pore composed of oxygen and other elements.",DIIDW:2000621264,
WO2025007185-A1,"Producing zeolite A comprises forming slurry of blend of coal combustion products or leached residue of its with metakaolin and aqueous alkaline solution, and dissolving aluminate and silica species into solution and precipitating zeolite A.",DIIDW:202503905X,
CN102371171-A; CN102371171-B,"In-situ synthesized fluidized bed catalyst for fluid catalytic cracking, useful for catalytic cracking of naphtha to produce ethylene and propylene, comprises oxides of phosphorus or alkaline earth elements and ZSM-5 zeolite microspheres.",DIIDW:2012D79842,
CN102441415-A; CN102441415-B,"Alkane hydroisomerization catalyst comprises modified B-beta zeolite, macroporous inorganic refractory oxide and porous aluminous oxide.",DIIDW:2012F96002,
WO2012035004-A2; WO2012035004-A3,"Hydrocracking catalyst composition used for hydrocracking of hydrocarbonaceous feedstock e.g. shale oil, comprises faujasite zeolite containing refractory oxide support, catalytically active metal(s) and polyalkylene polyamine.",DIIDW:2012D45932,
CN108264057-A; CN108264057-B,"Solid phase synthesizing method of invasively controllable ZSM-5 zeolite, involves grinding and mixing template or seed crystal with solid raw material silicon source, alkali source and/or aluminum source, crystallizing and drying.",DIIDW:201857544V,
CN108047181-A,"Synthesizing of tetrahydropyrone, involves dissolving manganese chloride and ferric nitrate in water, adding zeolite particles, filtering, calcining, adding 1,5-dichloro-3-pentanone, water and hydrogen peroxide and recrystallizing.",DIIDW:201840963K,
CN117138825-A,"Hydrodesulfurization catalyst useful in hydrodesulfurization reaction of 4,6-dimethyldibenzothiophene, comprises molybdenum active ingredients, nickel and cobalt type auxiliary ingredients and meso-ultrastable Y zeolites-aluminum oxide carrier.",DIIDW:2023D0863L,
EP2072490-A1; WO2009077730-A1,"Conversion of synthesis gas to alcohol involves reacting carbon oxides, hydrogen and alkyl ester in alcohol synthesis unit, etherification, carbonylation of alkyl ethers to alkyl ester, which is recycled into alcohol synthesis unit.",DIIDW:2009K65631,
CN118145665-A,"Structure regulation and control of zeolite molecular sieve involves grinding and sieving fly ash, calcining grounded fly ash, adding hydrochloric acid and acidifying, filtering, drying and grinding filter cake, adding sodium silicate nonahydrate or sodium metaaluminate, and hydrothermally reacting.",DIIDW:202462328L,
EP982067-A1; JP2000042386-A; CA2278995-A1; US6387269-B1; JP3686262-B2; EP982067-B1; DE59912948-G; CA2278995-C,"Porous composite body, especially a membrane, for separating fluids consists of a T- or erionite-type zeolite layer formed on a porous support.",DIIDW:2000184825,
CN110054197-A; CN110054197-B,"Preparing zeolite molecular sieve useful for adsorption of nuclide in low and medium discharge liquid comprises e.g. mixing silicon source, aluminum source, organic quaternary ammonium salt template agent, water and reacting hydrothermally.",DIIDW:201966977U,
JP2023114890-A,"Zeolite used in carbon dioxide separator for adsorption/desorption of carbon dioxide, has specific silicon oxide/aluminum oxide molar ratio, Brunauer-Emmett-Teller specific surface area, and composite building unit of PAU type.",DIIDW:2023893574,
US6494326-B1,"Composite molecular sieve membrane for use in chemical separation and synthesis comprises layer of molecular sieve crystallites comprising nanopores and penetrating voids, and layer of densified sol-gel product.",DIIDW:2003287550,
WO2019214022-A1; CN111757851-A; CN111757851-B,"Producing microporous-mesoporous level zeolite material useful as catalyst and adsorbent/ion exchange agent, comprises e.g. introducing anion precursor into zeolite synthetic fluid including silicon source and aluminum source.",DIIDW:201995368D,
CN113735676-A; CN113735676-B,High-selectivity catalytic cracking to produce propylene and increased gasoline production comprises e.g. contacting heavy feedstock with first catalytic cracking catalyst in heavy oil cracking reactor to perform catalytic cracking reaction and obtaining isobutene-lean stream.,DIIDW:2021E6179R,
JP2012066242-A; JP5957828-B2,Zeolite film complex used for gas separations comprises zeolite film which contains zeolite of chabazite type aluminosilicate formed on ceramic support body.,DIIDW:2012D84919,
WO2019180663-A1; CN111867976-A; EP3768638-A1; US2021171357-A1; JP2021519250-W; KR2020123803-A; US11267717-B2; JP7410048-B2; JP2024037997-A; CN111867976-B; KR2715371-B1; JP7711159-B2,"Synthesizing zeolite having chabazite crystalline framework, involves forming reaction mixture comprising at least one alumina source comprising zeolite, silica source and organic structure directing agent and crystallizing reaction mixture.",DIIDW:2019823863,
WO2007075383-A2; US2007154387-A1; WO2007075383-A3; IN200804973-P1; EP1981813-A2; CN101421191-A; ZA200805349-A; US8562941-B2; SG143357-A1; SG143357-B; CN101421191-B; IN266030-B,"Producing zeolite, mesoporous/microporous material used in e.g. cracking process involves forming a reactant gel that forms precursor crystalline phase; crystallizing the gel; adding recrystallization agent; and completing crystallization.",DIIDW:2007701057,
CN114591129-A,"Synthesizing tert-butylethylbenzene comprises e.g. entering alkylation reactor to carry out alkylation reaction after mixing isobutene and ethylbenzene, separating and purifying to obtain tert-butylethylbenzene, and preparing used alkylation reaction catalyst by mixing modified beta zeolite.",DIIDW:202279903G,
CN114538460-A; CN114538460-B,"Preparing zeolite molecular sieve by using waste liquid crystal display panel, involves using waste liquid crystal display panel as raw material, removing organic matter in waste liquid crystal display panel by high temperature combustion method.",DIIDW:202275631F,
WO2010141653-A1; US2010310723-A1; CA2764426-A1; US8257764-B2; CA2764426-C,"Mineral feed additive useful for ruminants, preferably dairy cattle for controlling acidosis, comprises natural zeolite mineral and dolomitic hydrated lime.",DIIDW:2010Q09417,
CN119949428-A,"Additive for reducing abdominal fat content in feeding fattening cattle, comprises guanidinoacetic acid, cysteamine hydrochloride, hawthorn extract, tannic acid, Saccharomyces cerevisiae, Aspergillus oryzae, Bacillus subtilis, methionine, betaine, L-carnitine and zeolite powder.",DIIDW:202551460J,
JP2016060660-A; JP6350160-B2,"Manufacture of zeolite used as catalyst, involves crystallizing composition of silica source, alumina source, triethyl propylammonium cation source, alkali source and water to obtain zeolite with preset powder X-ray diffraction peak.",DIIDW:201625420V,
US2002034471-A1; EP1284237-A1; JP2003034598-A; US6620402-B2; EP1284237-B1; DE60119511-E; DE60119511-T2; ES2263535-T3; JP4781567-B2,"Preparation of zeolite single crystals with straight mesopores, useful as catalytic material, involves applying zeolite precursor to templating material by sequential impregnation, and subjecting to crystallizing conditions.",DIIDW:2002381871,
JP2018188402-A,Manufacturing pentenoic acid ester by synthesizing pentenoic acid ester containing carbonyl-containing compound by making gamma-valerolactone and alcohol contact in presence of catalyst containing zeolite-X.,DIIDW:2018949877,
CN105175269-A,"Selective nitration synthesis of 4-nitro-m-xylene involves taking petroleum ether, adding xylene, acetic anhydride and bismuth nitrate pentahydrate, magnetic stirring, heating to reflux, filtering and performing gas chromatographic analysis.",DIIDW:201605742U,
