Title,Source,DOI
Efficient Dry Impregnation of Zirconium into H-ZSM-5 Zeolites,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2019.123968
Effects of the support material addition on the hydrodynamic behavior of an anaerobic expanded granular sludge bed reactor,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,10.1002/ejic.202200240
Adsorption properties of a natural zeolite-water pair for use in adsorption cooling cycles,JOURNAL OF ENVIRONMENTAL SCIENCES,10.1016/j.jes.2016.02.011
Immobilization of Radioiodine via an Interzeolite Transformation to Iodosodalite,APPLIED ENERGY,10.1016/j.apenergy.2009.11.027
The Effect of Zeolite Composition and Grain Size on Gas Sensing Properties of SnO<sub>2</sub>/Zeolite Sensor,NANOMATERIALS,10.3390/nano10112157
Sustainable Route for Synthesis of All-Silica SOD Zeolite,SENSORS,10.3390/s18020390
Straightforward Processing Route for the Fabrication of Robust Hierarchical Zeolite Structures,CRYSTALS,10.3390/cryst9070338
Systematic Catalyst Screening of Zeolites with Various Frameworks and Si/Al Ratios to Identify Optimum Acid Strength in OME Synthesis,ACS OMEGA,10.1021/acsomega.7b00972
Acidity versus metal-induced Lewis acidity in zeolites for Friedel-Crafts acylation,CHEMCATCHEM,10.1002/cctc.202000972
Preparation and Bacterial Adsorption Behaviors of Zeolite-Modified Anode in Microbial Fuel Cells,COMPTES RENDUS CHIMIE,10.1016/j.crci.2016.03.008
Synthesis of LTA zeolite for bacterial adhesion,INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE,10.20964/2020.07.26
Natural zeolite as a replacement for resin in the cation exchange process of cesium on post-irradiated nuclear fuel,BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO,10.1016/j.bsecv.2016.05.001
Facile Synthesis of Nanosheet-Stacked Hierarchical ZSM-5 Zeolite for Efficient Catalytic Cracking of n-Octane to Produce Light Olefins,NUKLEONIKA,10.2478/nuka-2021-0002
Photo-Regeneration of Zeolite-Based Volatile Organic Compound Filters Enabled by TiO<sub>2</sub> Photocatalyst,CATALYSTS,10.3390/catal12030351
Preparation of Zeolite X by the Aluminum Residue From Coal Fly Ash for the Adsorption of Volatile Organic Compounds,NANOMATERIALS,10.3390/nano12172959
"Renewable P -type zeolite for superior absorption of heavy metals: Isotherms, kinetics, and mechanism",FRONTIERS IN CHEMISTRY,10.3389/fchem.2019.00341
Synthesis and Characterization of Al-TON Zeolite Using a Dialkylimizadolium as Structure-Directing Agent,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2020.138535
Simultaneous phosphate and ammonium removal from aqueous solution by a hydrated aluminum oxide modified natural zeolite,MATERIALS RESEARCH-IBERO-AMERICAN JOURNAL OF MATERIALS,10.1590/1980-5373-MR-2016-0041
"Ethanol Conversion into 1,3-Butadiene by the Lebedev Method over MTaSiBEA Zeolites (M = Ag, Cu, Zn)",CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2015.03.003
Sonochemical Synthesis of Zeolite A from Metakaolinite in NaOH Solution,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,10.1021/acssuschemeng.6b01728
"Synthesis of binderless zeolite aggregates (SOD, LTA, FAU) beads of 10, 70 μm and 1 mm by direct pseudomorphic transformation",MATERIALS TRANSACTIONS,10.2320/matertrans.M2010191
Two-Dimensional MFI Zeolite Nanosheets Exfoliated by Surfactant Assisted Solution Process,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2013.04.006
Prevention in Thermal Crack Formation in Chabazite (CHA) Zeolite Membrane by Developing Thin Top Zeolite and Thick Intermediate Layers,NANOMATERIALS,10.3390/nano11092327
CO<sub>2</sub> adsorption performance of template free zeolite A and X synthesized from rice husk ash as silicon source,NANOMATERIALS,10.3390/nano11082113
"Low-cost zeolite-based sorbents prepared from industrial perlite by-product material for Zn2+and Ni2+removal from aqueous solutions: synthesis, properties and sorption efficiency",RSC ADVANCES,10.1039/d2ra04052b
Catalytic oxidation of organic sulfides by H<sub>2</sub>O<sub>2</sub> in the presence of titanosilicate zeolites,HELIYON,10.1016/j.heliyon.2022.e12029
Effect of Mesoporosity on Methanol-to-Olefin Reactions over Organosilane-Directed MesoporousSSZ-13 Zeolites,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2020.110219
Uptake and release characteristics of serotonin hydrochloride by natural Cuban zeolite containing clinoptilolite and mordenite,BULLETIN OF THE KOREAN CHEMICAL SOCIETY,10.1002/bkcs.12049
Hierarchical Zeolites Overcome all Obstacles: Next Stop Industrial Implementation,SCIENTIFIC REPORTS,10.1038/s41598-021-93487-z
Template-free synthesis of high degree crystallinity zeolite Y with micro-meso-macroporous structure,CHIMIA,10.2533/chimia.2013.327
Nanomagnetite-Zeolite Composites in the Removal of Arsenate from Aqueous Systems,RSC ADVANCES,10.1039/c7ra04742h
High-Resolution Single-Molecule Fluorescence Imaging of Zeolite Aggregates within Real-Life Fluid Catalytic Cracking Particles,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,10.5935/0103-5053.20150166
New insight of the influence of acidic surface sites of zeolite on the ability to remove gaseous ozone using <i>operando</i> DRIFTS studies,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.201410236
"Effect of zeolite type, temperature, and pH on Stage III glass alteration behavior for two nuclear waste glasses",MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2019.109912
Conversion of the Propane-Butane Fraction into Arenes on MFI Zeolites Modified by Zinc Oxide and Activated by Low-Temperature Plasma,JOURNAL OF NUCLEAR MATERIALS,10.1016/j.jnucmat.2022.153717
"Ruthenium tris(2,2′-bipyridyl) complex encapsulated in nanosized faujasite zeolite as intracellular localization tracer",MOLECULES,10.3390/molecules25112704
"Adsorption mechanism of poly(vinyl alcohol) on the surfaces of synthetic zeolites: sodalite, Na-P1 and Na-A",JOURNAL OF COLLOID AND INTERFACE SCIENCE,10.1016/j.jcis.2020.08.117
"Fe-Containing Zeolites for NH<sub>3</sub>-SCR of NO<i><sub>x</sub></i>: Effect of Structure, Synthesis Procedure, and Chemical Composition on Catalytic Performance and Stability",ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,10.1007/s10450-019-00044-2
Design of Stable Palladium-Based Zeolite Catalysts for Complete Methane Oxidation by Postsynthesis Zeolite Modification,CHEMISTRY-A EUROPEAN JOURNAL,10.1002/chem.201701742
Machine-learning approach to the design of OSDAs for zeolite beta,ACS CATALYSIS,10.1021/acscatal.8b04486
Photopolymerizable nanocomposites for holographic recording and sensor application,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.1818763116
Preparation of nano-zeolite X by bead-milling and post-milling recrystallization,APPLIED OPTICS,10.1364/AO.49.003652
Synthesis of mesoporous zeolite catalysts by <i>in situ</i> formation of carbon template over nickel nanoparticles,JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,10.2109/jcersj2.120.341
The importance of T<SUP>•••</SUP>T<SUP>•••</SUP>T angles in the feasibility of zeolites,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2015.12.015
Different Efficiency of Zn<SUP>2+</SUP> and ZnO Species for Methane Activation on Zn-Modified Zeolite,ZEITSCHRIFT FUR KRISTALLOGRAPHIE-CRYSTALLINE MATERIALS,10.1515/zkri-2014-1801
Zeolite-confined carbon dots: tuning thermally activated delayed fluorescence emission <i>via</i> energy transfer,ACS CATALYSIS,10.1021/acscatal.6b03036
Rational Design and Characterisation of Novel Mono- and Bimetallic Antibacterial Linde Type A Zeolite Materials,MATERIALS CHEMISTRY FRONTIERS,10.1039/c9qm00549h
Kinetics of <i>n</i>-Hexane Cracking over Mesoporous HY Zeolites Based on Catalyst Descriptors,JOURNAL OF FUNCTIONAL BIOMATERIALS,10.3390/jfb13020073
Adsorption characteristics of Cs<SUP>+</SUP> onto artificial zeolites synthesized from coal fly ash and diatomite,CATALYSTS,10.3390/catal11060652
Optimized Pore Structures of Hierarchical HY Zeolites for Highly Selective Production of Methyl Methoxyacetate,JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,10.2109/jcersj2.123.1065
Enhanced Selectivity and Stability of Finned Ferrierite Catalysts in Butene Isomerization,CATALYSTS,10.3390/catal9100865
π-π interaction of aromatic groups in amphiphilic molecules directing for single-crystalline mesostructured zeolite nanosheets,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202113077
Optimizing the Aromatic Product Distribution from Catalytic Fast Pyrolysis of Biomass Using Hydrothermally Synthesized Ga-MFI Zeolites,NATURE COMMUNICATIONS,10.1038/ncomms5262
Characterization of Zeolite in Zeolite-Geopolymer Hybrid Bulk Materials Derived from Kaolinitic Clays,CATALYSTS,10.3390/catal9100854
Energetics of Alkali and Alkaline Earth Ion-Exchanged Zeolite A,MATERIALS,10.3390/ma6051767
"In situ green synthesis of Cu nanoparticles supported on natural Natrolite zeolite for the reduction of 4-nitrophenol, congo red and methylene blue",JOURNAL OF PHYSICAL CHEMISTRY C,10.1021/acs.jpcc.6b04840
The effect of using natural zeolite on the properties and hydration characteristics of blended cements,IET NANOBIOTECHNOLOGY,10.1049/iet-nbt.2016.0143
Quantitative infrared spectroscopic studies and 2D COS analysis of xylenes isomerization over hierarchical zeolites,CONSTRUCTION AND BUILDING MATERIALS,10.1016/j.conbuildmat.2013.05.033
Stable Fe/ZSM-5 Nanosheet Zeolite Catalysts for the Oxidation of Benzene to Phenol,CATALYSIS TODAY,10.1016/j.cattod.2016.02.035
Direct TEM Observation of Vacancy-Mediated Heteroatom Incorporation into a Zeolite Framework: Towards Microscopic Design of Zeolite Catalysts,ACS CATALYSIS,10.1021/acscatal.6b03512
Highly Oriented Growth of Catalytically Active Zeolite ZSM-5 Films with a Broad Range of Si/Al Ratios,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202211196
Effects of Si/Al Ratios on the Bulk-Type Zeolite Formation Using Synthetic Metakaolin-Based Geopolymer with Designated Composition,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.201704846
Synthesis of zeolite/carbon nanotube composite for gas separation,CRYSTALS,10.3390/cryst11111310
Cluster modeling and coordination structures of Cu<SUP>+</SUP> ions in Al-incorporated Cu-MEL catalysts - a density functional theory study,CANADIAN JOURNAL OF CHEMISTRY,10.1139/cjc-2016-0305
Hydrothermal Carbonization of Digestate in the Presence of Zeolite: Process Efficiency and Composite Properties,JOURNAL OF THE MEXICAN CHEMICAL SOCIETY,10.29356/jmcs.v61i1.122
Synthesis of chiral polymorph A-enriched zeolite Beta with an extremely concentrated fluoride route,ACS Sustainable Chemistry & Engineering,10.1021/acssuschemeng.5b00943
Assessment of a UASB reactor with high ammonia concentrations: Effect of zeolite addition on process performance,SCIENTIFIC REPORTS,10.1038/srep11521
Freeze Granulated Zeolites X and A for Biogas Upgrading,PROCESS BIOCHEMISTRY,10.1016/j.procbio.2014.09.011
A Multi-Nuclear MAS-NMR Study on the Structural Properties of Silicalite-1 Zeolite Synthesized Using N- and P-Based Organic Structure Directing Agents,MOLECULES,10.3390/molecules25061378
Zeolite-mediated production of cyclic organic carbonates: reaction of CO<sub>2</sub> with styrene oxide on zeolite Y impregnated with metal halides,APPLIED SCIENCES-BASEL,10.3390/app11156850
Mesoporous low silica X (MLSX) zeolite: Mesoporosity in loewenstein limit?,REACTION CHEMISTRY & ENGINEERING,10.1039/d1re00036e
A Feasible One-Step Synthesis of Hierarchical Zeolite Beta with Uniform Nanocrystals via CTAB,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2021.111618
Application of Avrami Equation to Kinetics Analysis of Fly Ash Based Linde F (K) Zeolite,MATERIALS,10.3390/ma11050651
Synthesis and characterization of Ag-ion-exchanged zeolite/TiO<sub>2</sub> nanocomposites for antibacterial applications and photocatalytic degradation of antibiotics,ASIAN JOURNAL OF CHEMISTRY,10.14233/ajchem.2013.13156
Cr/13X Zeolite and Zn/13X Zeolite Nanocatalysts Used in Pyrolysis of Pretreated Residual Biomass to Produce Bio-Oil with Improved Quality,ENVIRONMENTAL RESEARCH,10.1016/j.envres.2021.112157
Preparation and Characterization of the Sulfur-Impregnated Natural Zeolite Clinoptilolite for Hg(II) Removal from Aqueous Solutions,NANOMATERIALS,10.3390/nano12121960
Adsorption and Diffusion of Xylene Isomers on Mesoporous Beta Zeolite,PROCESSES,10.3390/pr9020217
Adsorptive Separation of Ethanol Blended Gasoline on Zeolites,CATALYSTS,10.3390/catal5042098
Zeolite confined palladium(0) nanoclusters as effective and reusable catalyst for hydrogen generation from the hydrolysis of ammonia-borane,JOURNAL OF THE JAPAN PETROLEUM INSTITUTE,10.1627/jpi.57.29
Successful preparation of self-setting particle-stabilized zeolite 13X foams,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,10.1016/j.ijhydene.2009.11.056
"Effects of Dietary Zeolite Supplementation as an Antibiotic Alternative on Growth Performance, Intestinal Integrity, and Cecal Antibiotic Resistance Genes Abundances of Broilers",JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,10.2109/jcersj2.122.276
Phosphorus removal and mechanisms by Zn-layered double hydroxide (Zn-LDHs)-modified zeolite substrates in a constructed rapid infiltration system,ANIMALS,10.3390/ani9110909
Density of Mechanisms within the Flexibility Window of Zeolites,RSC ADVANCES,10.1039/c9ra04826j
Zeolite synthesis from aluminum saline slag waste,PHYSICAL REVIEW LETTERS,10.1103/PhysRevLett.107.164304
"""Ab initio"" synthesis of zeolites for preestablished catalytic reactions",POWDER TECHNOLOGY,10.1016/j.powtec.2020.02.069
Molecular Understanding of the Catalytic Consequence of Ketene Intermediates under Confinement,SCIENCE,10.1126/science.aal0121
"Use of Natural Zeolite and Glass Powder Mixture as Partial Replacement of Portland Cement: The Effect on Hydration, Properties and Porosity",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,10.1021/jacs.1c08036
Runoff Purification Effects of Permeable Concrete Modified by Diatomite and Zeolite Powder,MATERIALS,10.3390/ma15124219
Zeolites as Carriers of Antitumor Ribonuclease Binase,ADVANCES IN MATERIALS SCIENCE AND ENGINEERING,10.1155/2020/1081346
Influence of alkali metal cations on the formation of zeolites under hydrothermal conditions with no organic structure directing agents,FRONTIERS IN PHARMACOLOGY,10.3389/fphar.2019.00442
"Incorporation of Mn into the vacant T-atom sites of a BEA zeolite as isolated, mononuclear Mn: FTIR, XPS, EPR and DR UV-Vis studies",CRYSTENGCOMM,10.1039/c4ce02119c
Sponge-structured titanosilicate zeolite with high catalytic activity in epoxidation of fatty acid methyl ester,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,10.1039/c6cp01713d
Efficient transesterification over two-dimensional zeolites for sustainable biodiesel production,CATALYSIS COMMUNICATIONS,10.1016/j.catcom.2017.07.011
Synthesis of Pure Na-X and Na-P Zeolite from Acid-Extracting Residues of CFB Fly Ash by a Single-Step Hydrothermal Method,GREEN ENERGY & ENVIRONMENT,10.1016/j.gee.2020.10.024
Mesoporous Beta zeolite functionalisation with FexCry oligocations; catalytic activity in the NH<sub>3</sub>-SCO process,MATERIALS TRANSACTIONS,10.2320/matertrans.M2015463
Rice husk ash as a renewable source for the production of zeolite NaY and its characterization,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2018.11.003
Modified fly ash and zeolites as an effective adsorbent for metal ions from aqueous solution,ARABIAN JOURNAL OF CHEMISTRY,10.1016/j.arabjc.2012.12.013
Confinement effects facilitate low-concentration carbon dioxide capture with zeolites,ADSORPTION SCIENCE & TECHNOLOGY,10.1177/0263617417700420
Preparation and Characterization of Zeolite-Containing Composite Sheets for Decontamination of Radioactive Ions Dissolved in Water (III),PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.2211544119
"A COMPARATIVE STUDY OF THE REMOVAL OF LEAD, CADMIUM AND ZINC IONS FROM AQUEOUS SOLUTIONS BY NATURAL AND Fe(III)-MODIFIED ZEOLITE",JOURNAL OF FIBER SCIENCE AND TECHNOLOGY,10.2115/fiberst.2018-0006
Synthesis of zeolite-templated carbons using oxygen-containing organic solvents,CHEMICAL INDUSTRY & CHEMICAL ENGINEERING QUARTERLY,10.2298/CICEQ121017010M
Colloidal Stabilization of Submicron-Sized Zeolite NaA in Ethanol-Water Mixtures for Nanostructuring into Thin Films and Nanofibers,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2021.111038
Immobilization of lead by application of zeolite: Leaching column and rhizobox incubation studies,LANGMUIR,10.1021/acs.langmuir.2c02241
"Remediating Cd-Contaminated Soils Using Natural and Chitosan-Introduced Zeolite, Bentonite, and Activated Carbon",APPLIED CLAY SCIENCE,10.1016/j.clay.2013.08.022
High Performance Mixed-Matrix Electrospun Membranes for Ammonium Removal from Wastewaters,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,10.15244/pjoes/89577
Effect of Sodium Concentration on the Synthesis of Faujasite by Two-step Synthesis Procedure,MEMBRANES,10.3390/membranes11060440
Removal of methylene blue by NaX zeolites synthesized from coal gasification fly ash using an alkali fusion-hydrothermal method,CHEMICAL RESEARCH IN CHINESE UNIVERSITIES,10.1007/s40242-021-1292-2
Influence of heavy metal supplementation on specific methanogenic activity and microbial communities detected in batch anaerobic digesters,DESALINATION AND WATER TREATMENT,10.5004/dwt.2020.25424
Antibacterial and bactericidal activity of nitric oxide-releasing natural zeolite,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,10.1080/10934529.2010.500878
Biological effects of biochar and zeolite used for remediation of soil contaminated with toxic heavy metals,APPLIED CLAY SCIENCE,10.1016/j.clay.2010.10.013
Interaction of treated industrial wastewater and zeolite on compressive strength of plain concrete in different cement contents and curing ages,SCIENTIFIC REPORTS,10.1038/s41598-021-86446-1
Stability improvement of algal-alginate beads by zeolite molecular sieves 13X,CASE STUDIES IN CONSTRUCTION MATERIALS,10.1016/j.cscm.2019.e00308
Layered zeolitic materials: an approach to designing versatile functional solids,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,10.1016/j.ijbiomac.2019.03.191
Synthesis and characterization of polyaniline/zeolite nanocomposite for the removal of chromium(VI) from aqueous solution,DALTON TRANSACTIONS,10.1039/c3dt53181c
Intracrystalline Transport Barriers Affecting the Self-Diffusion of CH<sub>4</sub> in Zeolites |Na<sub>12</sub>|-A and |Na<sub>12-<i>x</i></sub>K<i><sub>x</sub></i>|-A,JOURNAL OF SAUDI CHEMICAL SOCIETY,10.1016/j.jscs.2012.01.001
Ultrasonic <i>vs</i> hydrothermal method: Different approaches to convert fly ash into zeolite. How they affect the stability of synthetic products over time?,LANGMUIR,10.1021/acs.langmuir.9b02574
Experimental study of the fine particles effect on the shear strength of tuff zeolites,ULTRASONICS SONOCHEMISTRY,10.1016/j.ultsonch.2017.12.050
Hierarchical Beta Zeolites As Catalysts in α-Pinene Oxide Isomerization,REVISTA DE LA CONSTRUCCION,10.7764/RDLC.17.1.23
Metal-Exchanged β Zeolites as Catalysts for the Conversion of Acetone to Hydrocarbons,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,10.1021/acssuschemeng.2c00441
Zeolite Synthesized from Coal Fly Ash Produced by a Gasification Process for Ni<SUP>2+</SUP> Removal from Water,MATERIALS,10.3390/ma5010121
Three-dimensional carbon nanotube networks from beta zeolite templates: Thermal stability and mechanical properties,MINERALS,10.3390/min8030116
Synthesis and Characterization of ZSM-5/EU-1 Composite Zeolite with Core-shell Structure by One Step,COMPUTATIONAL MATERIALS SCIENCE,10.1016/j.commatsci.2020.109781
Coarse-Grained Model for the Hydrothermal Synthesis of Zeolites,JOURNAL OF INORGANIC MATERIALS,10.15541/jim20150511
Library Creation of Ultrasmall Multi-metallic Nanoparticles Confined in Mesoporous MFI Zeolites,JOURNAL OF PHYSICAL CHEMISTRY C,10.1021/acs.jpcc.1c07916
Citric Acid-Treated Zeolite Y (CY)/Zeolite Beta Composites as Supports for Vacuum Gas Oil Hydrocracking Catalysts: High Yield Production of Highly-Aromatic Heavy Naphtha and Low-BMCI Value Tail Oil,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202103007
Fabrication of nano- to micron-sized patterns using zeolites: Its application in BSA adsorption,FRONTIERS IN CHEMISTRY,10.3389/fchem.2019.00705
Experimental Evidence of the Mechanism of Selective Catalytic Reduction of NO with NH<sub>3</sub> over Fe-Containing BEA Zeolites,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2014.02.041
Transition metals-incorporated zeolites as environmental catalysts for indoor air ozone decomposition,CHEMSUSCHEM,10.1002/cssc.201801883
Catalytic Pyrolysis of Waste Engine Oil over Y Zeolite Synthesized from Natural Clay,ENVIRONMENTAL TECHNOLOGY,10.1080/09593330.2017.1315457
Mechanochemically Assisted Coal Fly Ash Conversion into Zeolite,WASTE AND BIOMASS VALORIZATION,10.1007/s12649-020-01282-0
"Porosity, Powder X-Ray Diffraction Patterns, Skeletal Density, and Thermal Stability of NIST Zeolitic Reference Materials RM 8850, RM 8851, and RM 8852",MATERIALS,10.3390/ma15207174
Obtaining Nanoparticles of Chilean Natural Zeolite and its Ion Exchange with Copper Salt (Cu<SUP>2+</SUP>) for Antibacterial Applications,JOURNAL OF RESEARCH OF THE NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,10.6028/jres.126.047
Impact of Zeolite Structure on Entropic-Enthalpic Contributions to Alkane Monomolecular Cracking: An IR Operando Study,MATERIALS,10.3390/ma12132202
Synthesis of hierarchical zeolites using an inexpensive mono-quaternary ammonium surfactant as mesoporogen,CHEMISTRY-A EUROPEAN JOURNAL,10.1002/chem.201800793
Improving shallow foundations resting on saturated loose sand by a zeolite-cement mixture: A laboratory study,CHEMICAL COMMUNICATIONS,10.1039/c4cc06267a
Ionic liquid modification of zeolite and its removal of chromate from water,SCIENTIA IRANICA,10.24200/sci.2018.50153.1567
Role of Zeolite Structural Properties toward Iodine Capture: A Head-to-head Evaluation of Framework Type and Chemical Composition,GREEN CHEMISTRY LETTERS AND REVIEWS,10.1080/17518253.2014.923518
Removal of Heavy Metals from Model Mine Wastewater by Adsorption Using Mongolian Natural Zeolites,ACS APPLIED MATERIALS & INTERFACES,10.1021/acsami.2c01179
CATALYTIC PROPERTIES OF NANOMETRIC ZEOLITE X CONTAINING METHYLAMMONIUM CATIONS,JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,10.1252/jcej.12we137
A comparative study of silver- and palladium-exchanged zeolites in propylene and nitrogen oxide adsorption and desorption for cold-start applications,QUIMICA NOVA,10.5935/0100-4042.20160079
Preparation of nanosized NaA zeolite and its surface modification by KH-550,CATALYSIS TODAY,10.1016/j.cattod.2020.05.019
Effect of Temperature and Concentration of Zeolite Catalysts from Geothermal Solid Waste in Biodiesel Production from Used Cooking Oil by Esterification-Transesterification Process,MATERIALS SCIENCE-POLAND,10.2478/msp-2018-0083
"RETRACTED: Anti-cancer activity of hierarchical ZSM-5 zeolites synthesized from rice-based waste materials (Retracted article. See vol. 12, pg. 24139, 2022)",PROCESSES,10.3390/pr8121629
Fabrication of zeolite-polymer composite nanofibers for removal of uremic toxins from kidney failure patients,RSC ADVANCES,10.1039/c7ra11763a
Role of hydrogen bonding in the capture and storage of ammonia in zeolites,BIOMATERIALS SCIENCE,10.1039/c3bm60263j
Effect of a modified 13X zeolite support in Pd-based catalysts for hydrogen oxidation at room temperature,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2020.124062
A tightly-bonded and flexible mesoporous zeolite-cotton hybrid hemostat,RSC ADVANCES,10.1039/d1ra06395b
Direct Synthesis of Ti-Containing CFI-Type Extra-Large-Pore Zeolites in the Presence of Fluorides,NATURE COMMUNICATIONS,10.1038/s41467-019-09849-9
Nanoporous materials with predicted zeolite topologies,CATALYSTS,10.3390/catal9030257
The influence of intrapore cation on the fluorination of zeolite Y,RSC ADVANCES,10.1039/d0ra01888k
Enhanced ammonia nitrogen removal using consistent ammonium exchange of modified zeolite and biological regeneration in a sequencing batch reactor process,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2020.110470
"Metal Ion-Zeolite Materials against Resistant Bacteria, MRSA",ENVIRONMENTAL TECHNOLOGY,10.1080/09593330.2010.536784
Concerted Bimetallic Nanocluster Synthesis and Encapsulation via Induced Zeolite Framework Demetallation for Shape and Substrate Selective Heterogeneous Catalysis,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,10.1021/acs.iecr.1c01736
Computationally Exploring Confinement Effects in the Methane-to-Methanol Conversion Over Iron-Oxo Centers in Zeolites,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.201800557
Low temperature synthesis of zeolite N from kaolinites and montmorillonites,ACS CATALYSIS,10.1021/acscatal.6b02640
Catalytic Conversion of a ≥ 200 °C Fraction Separated from Low-Temperature Coal Tar into Light Aromatic Hydrocarbons,APPLIED CLAY SCIENCE,10.1016/j.clay.2010.03.016
Core-shell zeolite@aqueous miscible organic-layered double hydroxides,ACS OMEGA,10.1021/acsomega.0c06123
Electrochemically controlled ion exchange: proton ion exchange with sodium zeolite X and A,CHEMICAL SCIENCE,10.1039/c5sc03208c
"Preparation of LTA, HS and FAU/EMT intergrowth zeolites from aluminum scraps and industrial metasilicate",JOURNAL OF SOLID STATE ELECTROCHEMISTRY,10.1007/s10008-015-2851-6
A Comparative Study on Mesoporous Y Zeolites Prepared by Hard-Templating and Post-Synthetic Treatment Methods,JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT,10.1007/s10163-019-00873-x
Pioneering In Situ Recrystallization during Bead Milling: A Top-down Approach to Prepare Zeolite A Nanocrystals,APPLIED CATALYSIS A-GENERAL,10.1016/j.apcata.2020.117986
Preparation and application of metal loaded ZSM-5 and y-zeolite catalysts for thermo-catalytic pyrolysis of real end of life vehicle plastics waste,SCIENTIFIC REPORTS,10.1038/srep29210
Mesoporosity development in zeolite beta by using desilication and CTAB assembly for removal of Mn<SUP>2+</SUP>,JOURNAL OF THE ENERGY INSTITUTE,10.1016/j.joei.2017.10.017
Facile synthesis of LTA molecular sieve membranes on covalently functionalized supports by using diisocyanates as molecular linkers,DESALINATION AND WATER TREATMENT,10.5004/dwt.2018.22683
Synthesis of High Value-added Zeolitic Materials Using Glass Powder Residue as a Silica Source,JOURNAL OF MATERIALS CHEMISTRY,10.1039/c1jm11549a
Promoting Light Hydrocarbons Yield by Catalytic Hydrodechlorination of Residual Chloromethanes Using Palladium Supported on Zeolite Catalysts,MATERIALS RESEARCH-IBERO-AMERICAN JOURNAL OF MATERIALS,10.1590/S1516-14392013005000191
Synthesis of Itaconic Acid Ester Analogues via Self-Aldol Condensation of Ethyl Pyruvate Catalyzed by Hafnium BEA Zeolites,CATALYSTS,10.3390/catal10020199
Synthesis and catalytic performance of a small crystal NaY zeolite with high SiO<sub>2</sub>/Al<sub>2</sub>O<sub>3</sub> ratio,ACS CATALYSIS,10.1021/acscatal.6b00561
Effect of natural zeolite capping on phosphorus release from sediments,RSC ADVANCES,10.1039/c9ra03324f
Towards understanding mesopore formation in zeolite Y crystals using alkaline additives via <i>in situ</i> small-angle X-ray scattering,DESALINATION AND WATER TREATMENT,10.5004/dwt.2019.24377
Environmental uses of zeolites in Ethiopia,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2022.111867
The effect of hot liquid water treatment on the properties and catalytic activity of MWW zeolites with various layered structures,CATALYSIS TODAY,10.1016/j.cattod.2017.01.045
